market,instrument,d_star,adf_stat,adf_p,corr_level_dstar,corr_level_d1
crypto,ONUSDT,0.0,-4.710118969977629,8.054561575173174e-05,1.0,0.0220214394002645
crypto,MUSDT,0.0,-3.175127078645932,0.0214703241715958,1.0,-0.0041807075355795
crypto,QUSDT,0.0,-3.06729770013706,0.029069881391318,1.0,0.0390746438615753
crypto,RECALLUSDT,0.0,-3.5691297772245107,0.0063793773125756,0.9999999999999998,-0.0192770513200134
crypto,NAORISUSDT,0.0,-3.0353625226126524,0.031721371469731,1.0,0.0348979785396655
crypto,QNTUSDT,0.0,-3.599957699156024,0.0057618365040904,1.0,0.0167762540328289
crypto,FFUSDT,0.0,-4.2928401756330805,0.0004570664379793,1.0,-0.0118338263544967
crypto,GPSUSDT,0.0,-3.1061848119765743,0.0260988575573884,1.0,-0.0055227468505852
crypto,HUMAUSDT,0.0,-3.0555731077699537,0.0300204998810946,1.0,0.0082516578508418
crypto,METUSDT,0.0,-3.925714909514321,0.0018535422173375,0.9999999999999998,-0.0231760146611956
crypto,MUBARAKUSDT,0.0,-3.0075977953098385,0.0341909281075485,1.0,0.0089199126671163
crypto,MIRAUSDT,0.0,-5.908489741807068,2.673341459390092e-07,1.0,-0.0516842381285582
crypto,MELANIAUSDT,0.0,-6.8332206721303015,1.8706082045352086e-09,1.0,-0.040497297049508
crypto,MONUSDT,0.0,-3.360989688393935,0.0123628303009191,1.0,0.0047176615258207
crypto,4USDT,0.0,-3.1707287213700206,0.0217427755457606,1.0,-0.0083505892806311
crypto,ZBTUSDT,0.0,-4.599327521713894,0.0001295387966163,1.0,-0.021794384554792
crypto,XNYUSDT,0.0,-3.636487956303799,0.0051005724635181,1.0,0.0342629872825739
crypto,XANUSDT,0.0,-3.4628183655622564,0.008994948573915,1.0,-0.0191267280381557
crypto,XVGUSDT,0.0,-3.173730766697789,0.0215564945217947,1.0,0.0204733683752921
crypto,2ZUSDT,0.0,-3.819251436733509,0.0027163763923594,1.0,-0.0387333529065372
crypto,LINKUSDT,0.0,-2.8996332804396574,0.0453906585893754,0.9999999999999998,0.0070802627248496
crypto,KGENUSDT,0.0,-4.024926201888044,0.0012854697507218,1.0,0.0554684485041243
crypto,BCHUSDT,0.05,-2.9509120290459814,0.0397398923579371,0.9979899930027262,0.00882886240365
crypto,BNBUSDT,0.05,-3.037664335115612,0.031523613606878,0.9988882527092204,-0.0006782966389847
crypto,BELUSDT,0.05,-3.07551533138018,0.0284190298146707,0.9984471594577384,0.0113509820789206
crypto,B2USDT,0.05,-2.967244921907305,0.0380686129241446,0.994145473263329,0.0232270897618654
crypto,TOSHIUSDT,0.05,-3.5737841249868487,0.006282457195373,0.9617774128420832,0.0064588623933945
crypto,TAKEUSDT,0.05,-3.310552366892398,0.0144133224372232,0.9533810401258684,0.0131667957305409
crypto,STBLUSDT,0.05,-4.974146612099064,2.4961907800412066e-05,0.967715032004732,0.0069258293599287
crypto,UNIUSDT,0.05,-3.0945860677340726,0.026956446676058,0.997290314973282,0.0111160923791057
crypto,BLESSUSDT,0.05,-3.6998163923949634,0.0041157374854388,0.9925957199398944,0.0168845983261383
crypto,AWEUSDT,0.05,-3.271208173360529,0.0162155588482027,0.9949243152651358,0.0296104352352799
crypto,SQDUSDT,0.05,-3.3675027286849004,0.0121178638046859,0.9915586652477524,0.0085701722567111
crypto,TRBUSDT,0.05,-3.2799690343071464,0.0157979498673811,0.997233809077818,0.0114183214652086
